ticker,venue
AUGW,BATS
AUGZ,BATS
AUMI,NASDAQ
AUSF,ARCA
AUSM,ARCA
AVDE,ARCA
AVDS,ARCA
AVDV,ARCA
AVEE,ARCA
AVEM,ARCA
AVES,ARCA
AVGB,NASDAQ
AVGE,ARCA
AVGG,NASDAQ
AVGU,NASDAQ
AVGV,ARCA
AVGW,BATS
AVGX,NASDAQ
AVIE,ARCA
AVIG,ARCA
AVIV,ARCA
AVL,NASDAQ
AVLC,ARCA
AVLV,ARCA
AVMA,ARCA
AVMC,ARCA
AVMU,ARCA
AVMV,ARCA
AVNM,ARCA
AVNV,ARCA
AVOS,NASDAQ
AVRE,ARCA
AVS,NASDAQ
AVSC,ARCA
AVSD,ARCA
AVSE,ARCA
AVSF,ARCA
AVSU,ARCA
AVUQ,NASDAQ
AVUS,ARCA
AVUV,ARCA
AVXC,NASDAQ
AVXX,NASDAQ
AWAY,ARCA
AZTD,ARCA
AZYY,NASDAQ
BAB,ARCA
BABO,ARCA
BABX,NASDAQ
BAFE,NASDAQ
BAGY,BATS
BAI,ARCA
BAIG,NASDAQ
BALI,BATS
BALQ,NASDAQ
BALT,BATS
BAMA,BATS
BAMD,BATS
BAMG,BATS
BAMO,BATS
BAMU,BATS
BAMV,BATS
BAMY,BATS
BAPR,BATS
BAR,ARCA
BASG,NASDAQ
BASV,NASDAQ
BATT,ARCA
BAUG,BATS
BBAG,BATS
BBAX,BATS
BBB,NASDAQ
BBBI,ARCA
BBBL,ARCA
BBBS,ARCA
BBC,ARCA
BBCA,BATS
BBCB,BATS
BBEM,BATS
BBEU,BATS
BBH,NASDAQ
BBHY,BATS
BBIB,BATS
BBIN,BATS
BBJP,BATS
BBLB,BATS
BBLU,ARCA
BBMC,BATS
BBP,ARCA
BBRE,BATS
BBSB,BATS
BBSC,BATS
BBUS,BATS
BBYY,NASDAQ
BCD,ARCA
BCDF,ARCA
BCHI,ARCA
BCHP,BATS
BCI,ARCA
BCIL,ARCA
BCLO,NASDAQ
BCOR,ARCA
BCUS,ARCA
BDBT,ARCA
BDCX,ARCA
BDCZ,ARCA
BDEC,BATS
BDGS,NASDAQ
BDIV,ARCA
BDRY,ARCA
BDVG,ARCA
BDVL,NASDAQ
BEDY,NASDAQ
BEDZ,ARCA
BEEZ,NASDAQ
BELT,NASDAQ
BEMB,BATS
BENJ,ARCA
BERZ,ARCA
BETE,ARCA
BETH,ARCA
BETZ,ARCA
BFAP,ARCA
BFEB,BATS
BFIX,ARCA
BFOR,ARCA
BFRZ,ARCA
BGIG,ARCA
BGLD,BATS
BGRN,NASDAQ
BGRO,NASDAQ
BHYB,BATS
BIB,NASDAQ
BIBL,ARCA
BIDD,ARCA
BIGY,ARCA
BIL,ARCA
BILD,ARCA
BILS,ARCA
BILZ,ARCA
BINC,ARCA
BINT,ARCA
BINV,BATS
BIS,NASDAQ
BITB,ARCA
BITC,ARCA
BITI,ARCA
BITO,ARCA
BITQ,ARCA
BITS,NASDAQ
BITU,ARCA
BITX,BATS
BIV,ARCA
BIZD,ARCA
BJAN,BATS
BJUL,BATS
BJUN,BATS
BKAG,ARCA
BKCG,ARCA
BKCH,NASDAQ
BKCI,ARCA
BKDV,ARCA
BKEM,ARCA
BKF,ARCA
BKGI,BATS
BKHY,ARCA
BKIE,ARCA
BKLC,ARCA
BKLN,ARCA
BKMC,ARCA
BKSE,ARCA
BKUI,ARCA
BLCR,NASDAQ
BLCV,ARCA
BLDG,BATS
BLES,ARCA
BLGR,ARCA
BLOK,ARCA
BLOX,ARCA
BLSG,NASDAQ
BLST,ARCA
BLTD,ARCA
BLUC,ARCA
BLUI,ARCA
BLUX,ARCA
BLV,ARCA
BMAR,BATS
BMAY,BATS
BMED,ARCA
BMVP,ARCA
BND,NASDAQ
BNDC,ARCA
BNDD,ARCA
BNDI,ARCA
BNDP,NASDAQ
BNDS,ARCA
BNDW,NASDAQ
BNDX,NASDAQ
BNGE,ARCA
BNKD,ARCA
BNKU,ARCA
BNO,ARCA
BNOV,BATS
BOAT,ARCA
BOBP,ARCA
BOCT,BATS
BOEG,NASDAQ
BOEU,NASDAQ
BOIL,ARCA
BOND,NYSE
BOTT,NASDAQ
BOTZ,NASDAQ
BOUT,ARCA
BOXX,BATS
BPAY,ARCA
BPH,ARCA
BPI,ARCA
BRAZ,ARCA
BREM,NASDAQ
BRF,ARCA
BRHY,NASDAQ
BRIF,ARCA
BRKC,ARCA
BRKW,BATS
BRLN,BATS
BRNY,NASDAQ
BRRR,NASDAQ
BRTR,NASDAQ
BRZU,ARCA
BSCQ,NASDAQ
BSCR,NASDAQ
BSCS,NASDAQ
BSCT,NASDAQ
BSCU,NASDAQ
BSCV,NASDAQ
BSCW,NASDAQ
BSCX,NASDAQ
BSCY,NASDAQ
BSCZ,NASDAQ
BSEP,BATS
BSJQ,NASDAQ
BSJR,NASDAQ
BSJS,NASDAQ
BSJT,NASDAQ
BSJU,NASDAQ
BSJV,NASDAQ
BSJW,NASDAQ
BSJX,NASDAQ
BSMC,BATS
BSMQ,NASDAQ
BSMR,NASDAQ
BSMS,NASDAQ
BSMT,NASDAQ
BSMU,NASDAQ
BSMV,NASDAQ
BSMW,NASDAQ
BSMY,NASDAQ
BSMZ,NASDAQ
BSR,ARCA
BSSX,NASDAQ
BSTP,ARCA
BSV,ARCA
BSVO,NASDAQ
BTAL,ARCA
BTC,ARCA
BTCC,ARCA
BTCO,BATS
BTCW,BATS
BTF,NASDAQ
BTGD,NASDAQ
BTR,ARCA
BTRN,ARCA
BUCK,ARCA
BUFB,BATS
BUFC,NASDAQ
BUFD,BATS
BUFF,BATS
BUFG,BATS
BUFP,BATS
BUFQ,BATS
BUFR,BATS
BUFS,BATS
BUFT,BATS
BUFZ,BATS
BUG,NASDAQ
BUL,ARCA
BULD,NASDAQ
BULG,NASDAQ
BULZ,ARCA
BUSA,BATS
BUXX,NYSE
BUYO,ARCA
BUYW,BATS
BUYZ,BATS
BUZZ,ARCA
BVAL,ARCA
BWET,ARCA
BWTG,BATS
BWX,ARCA
BWZ,ARCA
BYLD,ARCA
BYRE,ARCA
BZQ,ARCA
CAAA,ARCA
CAFG,NASDAQ
CAFX,ARCA
CAIQ,NASDAQ
CALF,BATS
CALI,NASDAQ
CAML,ARCA
CAMX,ARCA
CANC,NASDAQ
CANE,ARCA
CANQ,NASDAQ
CAOS,BATS
CAPE,ARCA
CARD,ARCA
CARK,ARCA
CARU,ARCA
CARY,NASDAQ
CARZ,NASDAQ
CAS,ARCA
CATF,ARCA
CATH,NASDAQ
CBLS,ARCA
CBON,ARCA
CBSE,ARCA
CCEF,ARCA
CCFE,NASDAQ
CCNR,NASDAQ
CCOR,ARCA
CCSB,NASDAQ
CCSO,NASDAQ
CDC,NASDAQ
CDEI,ARCA
CDIG,NASDAQ
CDL,NASDAQ
CDX,ARCA
CEF,ARCA
CEFA,NASDAQ
CEFD,ARCA
CEFS,BATS
CEFZ,BATS
CEMB,BATS
CEPI,NASDAQ
CERY,ARCA
CEW,ARCA
CFA,NASDAQ
CFO,NASDAQ
CGBL,ARCA
CGCB,ARCA
CGCP,ARCA
CGCV,ARCA
CGDG,ARCA
CGDV,ARCA
CGGE,ARCA
CGGG,ARCA
CGGO,ARCA
CGGR,ARCA
CGHM,ARCA
CGHY,ARCA
CGIB,ARCA
CGIC,ARCA
CGIE,ARCA
CGMM,ARCA
CGMS,ARCA
CGMU,ARCA
CGNG,ARCA
CGRO,ARCA
CGSD,ARCA
CGSM,ARCA
CGUI,ARCA
CGUS,ARCA
CGV,NYSE
CGVV,ARCA
CGW,ARCA
CGXU,ARCA
CHAT,ARCA
CHAU,ARCA
CHGX,NASDAQ
CHIQ,ARCA
CHPS,NASDAQ
CHPX,NASDAQ
CHRI,NASDAQ
CIBR,NASDAQ
CLIP,ARCA
CLIX,ARCA
CLOA,NASDAQ
CLOB,ARCA
CLOD,NASDAQ
CLOI,ARCA
CLOU,NASDAQ
CLOX,ARCA
CLOZ,ARCA
CLSE,BATS
CLSM,NASDAQ
CMBO,NASDAQ
CMBS,ARCA
CMDT,ARCA
CMDY,ARCA
CMF,ARCA
CMGG,NASDAQ
CNBS,ARCA
CNEQ,ARCA
CNQQ,NASDAQ
CNRG,ARCA
CNXT,ARCA
CNYA,BATS
COAL,ARCA
COIG,NASDAQ
COIW,BATS
COLO,ARCA
COM,ARCA
COMB,ARCA
COMT,NASDAQ
CONI,NASDAQ
CONL,NASDAQ
CONX,NASDAQ
CONY,ARCA
COPJ,NASDAQ
COPP,NASDAQ
COPX,ARCA
COPY,ARCA
CORN,ARCA
CORO,NASDAQ
CORP,ARCA
COTG,NASDAQ
COWG,NASDAQ
COWS,NASDAQ
COWZ,BATS
COYY,NASDAQ
CPAG,NASDAQ
CPAI,NYSE
CPER,ARCA
CPHY,NASDAQ
CPII,ARCA
CPLB,ARCA
CPLS,NASDAQ
CPNJ,ARCA
CPNM,ARCA
CPNS,ARCA
CPRA,ARCA
CPRJ,ARCA
CPRO,ARCA
CPRY,ARCA
CPSA,ARCA
CPSF,ARCA
CPSJ,ARCA
CPSM,ARCA
CPSN,ARCA
CPSO,ARCA
CPSP,ARCA
CPSR,ARCA
CPST,ARCA
CPSU,ARCA
CPSY,ARCA
CPXR,ARCA
CQQQ,ARCA
CRAK,ARCA
CRBN,ARCA
CRCO,ARCA
CRDT,ARCA
CRED,ARCA
CRPT,ARCA
CRSH,ARCA
CRTC,ARCA
CRWL,NASDAQ
CSB,NASDAQ
CSCL,NASDAQ
CSCS,NASDAQ
CSD,ARCA
CSHI,ARCA
CSHP,ARCA
CSM,BATS
CSMD,ARCA
CSNR,ARCA
CSPF,ARCA
CSRE,ARCA
CTA,ARCA
CTEC,NASDAQ
CTEX,ARCA
CURE,ARCA
CUT,ARCA
CVIE,ARCA
CVLC,ARCA
CVMC,ARCA
CVNY,ARCA
CVRD,ARCA
CVRT,ARCA
CVSB,ARCA
CVY,ARCA
CWB,ARCA
CWEB,ARCA
CWI,ARCA
CWS,ARCA
CXSE,NASDAQ
CZA,ARCA
CZAR,NASDAQ
DABS,ARCA
DALI,NASDAQ
DAPP,NASDAQ
DAPR,BATS
DARP,ARCA
DAT,ARCA
DAUG,BATS
DAX,NASDAQ
DBA,ARCA
DBAW,ARCA
DBB,ARCA
DBC,ARCA
DBE,ARCA
DBEF,ARCA
DBEM,ARCA
DBEU,ARCA
DBEZ,ARCA
DBJP,ARCA
DBMF,ARCA
DBND,ARCA
DBO,ARCA
DBP,ARCA
DCMT,ARCA
DCOR,ARCA
DCRE,ARCA
DDEC,BATS
DDFD,BATS
DDFN,BATS
DDIV,NASDAQ
DDLS,BATS
DDM,ARCA
DDTD,BATS
DDTN,BATS
DDWM,BATS
DDX,BATS
DECO,NASDAQ
DECT,BATS
DECW,BATS
DECZ,BATS
DEED,ARCA
DEEF,ARCA
DEEP,ARCA
DEFI,ARCA
DEHP,ARCA
DEM,ARCA
DEMZ,NASDAQ
DES,ARCA
DESK,ARCA
DEUS,ARCA
DEW,ARCA
DEXC,ARCA
DFAC,ARCA
DFAE,ARCA
DFAI,ARCA
DFAR,ARCA
DFAS,ARCA
DFAT,ARCA
DFAU,ARCA
DFAW,ARCA
DFAX,ARCA
DFCA,ARCA
DFCF,ARCA
DFE,ARCA
DFEB,BATS
DFEM,ARCA
DFEN,ARCA
DFEV,ARCA
DFGP,NASDAQ
DFGR,ARCA
DFGX,NASDAQ
DFIC,BATS
DFII,ARCA
DFIP,ARCA
DFIS,BATS
DFIV,ARCA
DFJ,ARCA
DFLV,ARCA
DFNL,BATS
DFNM,ARCA
DFSB,ARCA
DFSD,ARCA
DFSE,ARCA
DFSI,ARCA
DFSU,ARCA
DFSV,ARCA
DFUS,ARCA
DFUV,ARCA
DFVE,ARCA
DFVX,ARCA
DGCB,NASDAQ
DGIN,ARCA
DGP,ARCA
DGRE,NASDAQ
DGRO,ARCA
DGRS,NASDAQ
DGRW,NASDAQ
DGS,ARCA
DGT,ARCA
DGZ,ARCA
DHDG,BATS
DHLX,ARCA
DHS,ARCA
DHSB,ARCA
DIA,ARCA
DIAL,ARCA
DIEM,ARCA
DIG,ARCA
DIHP,BATS
DIM,ARCA
DIME,NASDAQ
DINT,BATS
DIPS,ARCA
DISV,BATS
DIV,ARCA
DIVB,BATS
DIVD,NASDAQ
DIVE,ARCA
DIVG,ARCA
DIVI,ARCA
DIVL,ARCA
DIVO,ARCA
DIVP,ARCA
DIVS,ARCA
DIVY,NYSE
DIVZ,ARCA
DJAN,BATS
DJD,ARCA
DJIA,ARCA
DJP,ARCA
DJUL,BATS
DJUN,BATS
DLLL,NASDAQ
DLN,ARCA
DLS,ARCA
DMAR,BATS
DMAY,BATS
DMBS,ARCA
DMX,ARCA
DMXF,NASDAQ
DNL,ARCA
DNOV,BATS
DOCT,BATS
DOG,ARCA
DOGG,BATS
DOL,ARCA
DON,ARCA
DPST,ARCA
DRAI,ARCA
DRAY,ARCA
DRIP,ARCA
DRIV,NASDAQ
DRLL,NYSE
DRN,ARCA
DRNZ,NASDAQ
DRSK,BATS
DRUP,ARCA
DRV,ARCA
DRVN,NASDAQ
DSEP,BATS
DSI,ARCA
DSMC,NYSE
DSPY,ARCA
DSTL,ARCA
DSTX,NYSE
DTAN,ARCA
DTCR,NASDAQ
DTD,ARCA
DTEC,ARCA
DTH,ARCA
DTRE,ARCA
DUBS,BATS
DUG,ARCA
DUHP,ARCA
DUKH,NASDAQ
DUKQ,ARCA
DUKX,NASDAQ
DUKZ,ARCA
DULL,ARCA
DUNK,ARCA
DURA,BATS
DUSA,BATS
DUSB,ARCA
DUSL,ARCA
DUST,ARCA
DVAL,NASDAQ
DVDN,ARCA
DVGR,NASDAQ
DVLU,NASDAQ
DVND,ARCA
DVOL,NASDAQ
DVY,NASDAQ
DVYA,ARCA
DVYE,ARCA
DWAS,NASDAQ
DWAW,NASDAQ
DWLD,BATS
DWM,ARCA
DWMF,ARCA
DWSH,NASDAQ
DWUS,NASDAQ
DWX,ARCA
DXD,ARCA
DXIV,ARCA
DXJ,ARCA
DXUV,ARCA
DYFI,NASDAQ
DYLD,ARCA
DYLG,ARCA
DYNB,NASDAQ
DYNF,ARCA
DYTA,NASDAQ
DZZ,ARCA
EAFG,ARCA
EAGG,ARCA
EAGL,ARCA
EALT,BATS
EAOA,BATS
EAOK,BATS
EAOM,BATS
EAOR,BATS
EAPR,ARCA
EART,NASDAQ
EASG,ARCA
EASY,NASDAQ
EBI,NASDAQ
EBIT,ARCA
EBIZ,NASDAQ
EBND,ARCA
EBUF,ARCA
ECH,BATS
ECML,ARCA
ECNS,ARCA
ECON,ARCA
ECOW,NASDAQ
EDC,ARCA
EDEN,BATS
EDGF,ARCA
EDGH,ARCA
EDGI,ARCA
EDGU,ARCA
EDIV,ARCA
EDOG,ARCA
EDOW,ARCA
EDV,ARCA
EDZ,ARCA
EELV,ARCA
EEM,ARCA
EEMA,NASDAQ
EEMO,ARCA
EEMS,ARCA
EEMV,BATS
EEMX,ARCA
EES,ARCA
EET,ARCA
EETH,ARCA
EEV,ARCA
EFA,ARCA
EFAA,ARCA
EFAD,BATS
EFAS,NASDAQ
EFAV,BATS
EFAX,ARCA
EFG,BATS
EFIV,ARCA
EFNL,BATS
EFO,ARCA
EFRA,NASDAQ
EFU,ARCA
EFV,BATS
EFZ,ARCA
EGGQ,NASDAQ
EGGS,ARCA
EGGY,ARCA
EGLE,ARCA
EGUS,BATS
EHLS,NASDAQ
EIDO,ARCA
EINC,ARCA
EIPI,ARCA
EIPX,ARCA
EIRL,ARCA
EIS,ARCA
EJAN,ARCA
EJUL,ARCA
EKG,NASDAQ
ELCV,ARCA
ELD,ARCA
ELFY,NASDAQ
ELIL,NASDAQ
ELM,ARCA
EMB,NASDAQ
EMBD,ARCA
EMC,ARCA
EMCB,NASDAQ
EMCR,ARCA
EMCS,ARCA
EMDM,ARCA
EMDV,BATS
EMEQ,NASDAQ
EMES,ARCA
EMET,ARCA
EMGF,BATS
EMHC,ARCA
EMHY,BATS
EMIF,NASDAQ
EMLC,ARCA
EMLP,ARCA
EMM,ARCA
EMMF,ARCA
EMNT,ARCA
EMOP,ARCA
EMOT,ARCA
EMQQ,ARCA
EMSF,ARCA
EMTY,ARCA
EMXC,NASDAQ
EMXF,NASDAQ
ENDW,NASDAQ
ENFR,ARCA
ENHU,NASDAQ
ENOR,BATS
ENZL,NASDAQ
EOCT,ARCA
EPHE,ARCA
EPI,ARCA
EPMB,ARCA
EPOL,ARCA
EPP,ARCA
EPRF,BATS
EPS,ARCA
EPSB,ARCA
EPSV,ARCA
EPU,ARCA
EPV,ARCA
EQAL,ARCA
EQIN,ARCA
EQL,ARCA
EQLT,BATS
EQRR,NASDAQ
EQTY,ARCA
EQWL,ARCA
ERET,NASDAQ
ERTH,ARCA
ERX,ARCA
ERY,ARCA
ESG,BATS
ESGD,NASDAQ
ESGE,NASDAQ
ESGG,BATS
ESGU,NASDAQ
ESGV,BATS
ESLG,ARCA
ESLV,ARCA
ESML,BATS
ESMV,NASDAQ
ESN,NASDAQ
ESPO,NASDAQ
ESSC,ARCA
ESUM,ARCA
ETCO,ARCA
ETEC,NASDAQ
ETH,ARCA
ETHD,ARCA
ETHE,ARCA
ETHO,ARCA
ETHT,ARCA
ETHU,BATS
ETHV,BATS
ETHW,ARCA
EUDG,ARCA
EUDV,BATS
EUFN,NASDAQ
EUHY,BATS
EUM,ARCA
EUO,ARCA
EURL,ARCA
EUSA,ARCA
EUSB,ARCA
EVHY,ARCA
EVIM,ARCA
EVLN,ARCA
EVMT,NASDAQ
EVNT,ARCA
EVSB,ARCA
EVSD,NASDAQ
EVSM,ARCA
EVTR,NYSE
EVUS,BATS
EVX,ARCA
EVYM,NASDAQ
EWA,ARCA
EWC,ARCA
EWD,ARCA
EWG,ARCA
EWH,ARCA
EWI,ARCA
EWJ,ARCA
EWJV,NASDAQ
EWK,ARCA
EWL,ARCA
EWM,ARCA
EWN,ARCA
EWO,ARCA
EWP,ARCA
EWQ,ARCA
EWS,ARCA
EWT,ARCA
EWU,ARCA
EWUS,BATS
EWV,ARCA
EWW,ARCA
EWX,ARCA
EWY,ARCA
EWZ,ARCA
EWZS,NASDAQ
EXI,ARCA
EXUS,NASDAQ
EYEG,NASDAQ
EYLD,BATS
EZA,ARCA
EZBC,BATS
EZET,BATS
EZJ,ARCA
EZM,ARCA
EZMO,NASDAQ
EZPZ,BATS
EZRO,NASDAQ
EZU,BATS
FAAR,NASDAQ
FAB,NASDAQ
FAD,NASDAQ
FALN,NASDAQ
FAN,ARCA
FAPR,BATS
FAS,ARCA
FAUG,BATS
FAZ,ARCA
FB,BATS
FBCG,BATS
FBCV,BATS
FBDC,ARCA
FBL,NASDAQ
FBND,ARCA
FBOT,NASDAQ
FBT,ARCA
FBTC,BATS
FBY,ARCA
FBYY,NASDAQ
FCA,NASDAQ
FCAL,NASDAQ
FCEF,NASDAQ
FCFY,ARCA
FCG,ARCA
FCLD,BATS
FCOM,ARCA
FCOR,ARCA
FCPI,BATS
FCSH,ARCA
FCTE,NASDAQ
FCTR,BATS
FCUS,ARCA
FCVT,NASDAQ
FDAT,ARCA
FDCF,NASDAQ
FDD,ARCA
FDEC,BATS
FDEM,BATS
FDEV,BATS
FDFF,NASDAQ
FDG,ARCA
FDHY,ARCA
FDIF,NASDAQ
FDIG,NASDAQ
FDIQ,NASDAQ
FDIS,ARCA
FDIV,NASDAQ
FDL,ARCA
FDLO,ARCA
FDLS,ARCA
FDM,ARCA
FDMO,ARCA
FDN,ARCA
FDNI,NASDAQ
FDRR,ARCA
FDRV,BATS
FDT,NASDAQ
FDTS,NASDAQ
FDTX,NASDAQ
FDV,ARCA
FDVV,ARCA
FEBT,BATS
FEBW,BATS
FEBZ,BATS
FEDM,ARCA
FEGE,NYSE
FEIG,ARCA
FELC,ARCA
FELG,ARCA
FELV,ARCA
FEM,NASDAQ
FEMB,NASDAQ
FEMS,NASDAQ
FENI,ARCA
FENY,ARCA
FEOE,NYSE
FEP,NASDAQ
FEPI,NASDAQ
FESM,ARCA
FETH,BATS
FEUS,ARCA
FEUZ,NASDAQ
FEX,NASDAQ
FEZ,ARCA
FFEB,BATS
FFIU,ARCA
FFLC,BATS
FFLG,BATS
FFLS,ARCA
FFND,ARCA
FFOG,BATS
FFOX,ARCA
FFSM,BATS
FFTY,ARCA
FFUT,NASDAQ
FGD,ARCA
FGDL,ARCA
FGM,NASDAQ
FGSI,NASDAQ
FHDG,BATS
FHLC,ARCA
FHYS,ARCA
FIAT,ARCA
FIAX,ARCA
FICS,NASDAQ
FID,NASDAQ
FIDI,ARCA
FIDU,ARCA
FIG,NYSE
FIGB,ARCA
FIIG,ARCA
FINX,NASDAQ
FISR,ARCA
FITE,ARCA
FIVA,ARCA
FIW,ARCA
FIXD,NASDAQ
FIXP,ARCA
FIXT,NYSE
FJAN,BATS
FJP,NASDAQ
FJUL,BATS
FJUN,BATS
FKU,NASDAQ
FLAG,ARCA
FLAO,BATS
FLAU,ARCA
FLAX,ARCA
FLBL,BATS
FLBR,ARCA
FLCA,ARCA
FLCB,ARCA
FLCC,ARCA
FLCG,ARCA
FLCH,ARCA
FLCO,ARCA
FLCV,ARCA
FLDB,NASDAQ
FLDR,BATS
FLDZ,BATS
FLEE,ARCA
FLEU,ARCA
FLGB,ARCA
FLGR,ARCA
FLGV,ARCA
FLHY,BATS
FLIA,BATS
FLIN,ARCA
FLJH,ARCA
FLJJ,BATS
FLJP,ARCA
FLKR,ARCA
FLLA,ARCA
FLMB,ARCA
FLMI,ARCA
FLMX,ARCA
FLN,NASDAQ
FLOT,BATS
FLOW,ARCA
FLQL,BATS
FLQM,BATS
FLQS,BATS
FLRG,ARCA
FLRN,ARCA
FLRT,ARCA
FLSA,ARCA
FLSP,ARCA
FLSW,ARCA
FLTB,ARCA
FLTR,ARCA
FLTW,ARCA
FLUD,ARCA
FLV,ARCA
FLXN,BATS
FLXR,NYSE
FLYD,ARCA
FLYT,BATS
FLYU,ARCA
FMAG,BATS
FMAR,BATS
FMAT,ARCA
FMAY,BATS
FMB,NASDAQ
FMCE,ARCA
FMCX,ARCA
FMDE,ARCA
FMED,NASDAQ
FMET,NASDAQ
FMF,ARCA
FMHI,NASDAQ
FMKT,ARCA
FMNY,ARCA
FMQQ,ARCA
FMTM,NASDAQ
FMUB,NASDAQ
FMUN,NASDAQ
FNCL,ARCA
FNDA,ARCA
FNDB,ARCA
FNDC,ARCA
FNDE,ARCA
FNDF,ARCA
FNDX,ARCA
FNGD,ARCA
FNGG,ARCA
FNGO,ARCA
FNGS,ARCA
FNGU,ARCA
FNK,NASDAQ
FNOV,BATS
FNX,NASDAQ
FNY,NASDAQ
FOCT,BATS
FORH,BATS
FOWF,BATS
FOXY,ARCA
FPA,NASDAQ
FPAG,BATS
FPE,ARCA
FPEI,ARCA
FPFD,BATS
FPRO,BATS
FPWR,ARCA
FPX,ARCA
FPXE,NASDAQ
FPXI,NASDAQ
FQAL,ARCA
FRDM,BATS
FREL,ARCA
FRI,ARCA
FRIZ,ARCA
FRNW,BATS
FRTY,ARCA
FSCC,ARCA
FSCS,NASDAQ
FSEC,ARCA
FSEP,BATS
FSGS,NASDAQ
FSIG,ARCA
FSMB,ARCA
FSMD,ARCA
FSTA,ARCA
FSYD,ARCA
FSZ,NASDAQ
FTA,NASDAQ
FTAG,NASDAQ
FTBD,ARCA
FTBI,ARCA
FTC,NASDAQ
FTCB,ARCA
FTCE,ARCA
FTCS,NASDAQ
FTDS,NASDAQ
FTEC,ARCA
FTGC,NASDAQ
FTGS,NASDAQ
FTHF,ARCA
FTHI,NASDAQ
FTIF,ARCA
FTKI,ARCA
FTLS,ARCA
FTQI,NASDAQ
FTRB,ARCA
FTRI,NASDAQ
FTSD,ARCA
FTSL,NASDAQ
FTSM,NASDAQ
FTW,NYSE
FTWO,NYSE
FTXG,NASDAQ
FTXH,NASDAQ
FTXL,NASDAQ
FTXN,NASDAQ
FTXO,NASDAQ
FTXR,NASDAQ
FUMB,ARCA
FUSI,ARCA
FUTG,NASDAQ
FUTS,PINK
FUTY,ARCA
FV,NASDAQ
FVAL,ARCA
FVC,NASDAQ
FVD,ARCA
FWD,ARCA
FXA,ARCA
FXB,ARCA
FXC,ARCA
FXD,ARCA
FXE,ARCA
FXED,NYSE
FXF,ARCA
FXG,ARCA
FXH,ARCA
FXI,ARCA
FXL,ARCA
FXN,ARCA
FXO,ARCA
FXP,ARCA
FXR,ARCA
FXU,ARCA
FXY,ARCA
FXZ,ARCA
FYC,NASDAQ
FYEE,BATS
FYLD,BATS
FYT,NASDAQ
